,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,71.00,63.00,-88.68,0.00,-7.68,-75.15,-13.401,0.777,2000,-33.32,-25.76,-19.71,-19.84,-14.55,-14.32,-13.08,-11.10,-10.54,-9.25,-8.01,-6.05,-6.94,-6.54,-5.83,-3.58,-3.48,-2.79,-2.66,-3.73,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,64.6,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,64.00,-100.41,0.00,-5.58,-85.74,-21.165,0.775,2000,-20.14,-16.20,-13.89,-12.28,-10.56,-9.72,-9.52,-7.69,-6.77,-5.77,-5.80,-6.00,-5.93,-3.90,-3.92,-3.46,-3.49,-3.13,-2.27,-2.43,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,64.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,66.00,772.74,0.00,-0.34,-75.08,48.340,0.236,2000,3.77,1.69,0.90,1.09,0.41,0.33,0.07,0.21,-0.21,-0.80,-0.46,-0.91,-0.49,-0.67,-0.54,-0.69,-0.70,-1.01,-0.77,-0.57,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,15,63.1,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,67.00,748.69,0.00,-0.18,-84.87,47.844,0.354,2000,3.19,1.38,0.45,0.36,0.05,0.60,0.42,0.27,-0.04,-0.29,-0.46,-0.21,-0.39,-0.21,-0.73,-0.44,-0.32,-0.52,-0.44,-0.56,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,22,63.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,68.00,588.71,0.00,0.74,-159.27,48.139,0.560,2000,6.72,4.16,3.23,2.51,2.40,2.24,1.83,1.67,1.34,1.06,0.64,0.93,0.51,0.55,0.21,0.01,-0.21,-0.30,-0.24,-0.33,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,36,64.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,69.00,397.01,0.00,1.93,-62.89,36.493,0.770,2000,11.19,7.02,6.19,5.08,4.00,3.71,3.20,3.05,2.56,2.38,1.66,1.74,1.76,0.83,0.86,1.05,0.98,0.64,0.75,0.36,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,65.1,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,70.00,220.73,0.00,7.27,26.77,14.336,0.765,2000,41.04,27.28,21.42,18.34,16.13,14.76,15.34,11.98,9.58,8.38,6.53,5.55,4.82,4.59,3.77,4.49,2.97,2.94,1.54,1.77,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,65.6,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,63.00,-88.34,0.00,-7.77,-74.43,-13.182,0.767,2000,-33.01,-26.14,-20.62,-18.27,-16.05,-15.60,-14.34,-11.67,-9.29,-9.14,-6.99,-7.58,-7.42,-6.56,-5.80,-4.32,-3.62,-3.75,-2.13,-2.52,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,65.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,70.00,219.74,0.00,7.52,26.83,14.269,0.765,2000,40.44,28.79,23.65,18.13,16.04,14.54,12.99,11.64,9.78,8.23,7.27,7.06,6.96,4.34,4.55,3.81,2.86,2.58,2.84,1.64,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,65.6,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,62.00,-1.33,0.00,-299.99,-56.06,-0.172,0.761,2000,-3743.06,-2798.61,-2354.17,-2062.50,-1791.67,-1600.69,-1545.14,-1248.26,-1126.74,-934.03,-906.25,-751.74,-671.88,-725.69,-596.35,-468.75,-462.67,-440.10,-315.97,-230.03,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,65.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,2.00,1.00,-4276071.00,0.00,4.86,-18.38,24.246,0.761,2000,17.78,13.38,11.97,10.57,10.52,8.61,8.14,7.67,6.05,6.11,5.53,4.54,3.79,3.43,3.39,3.45,2.67,2.10,2.32,1.95,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,65.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,4.00,3.00,-12716311.00,0.00,-3.30,-41.62,76.831,0.740,2000,-9.02,-9.02,-7.78,-7.23,-6.76,-5.94,-5.42,-5.00,-4.36,-4.00,-3.65,-3.22,-2.94,-2.55,-2.45,-2.22,-2.03,-1.74,-1.57,-1.40,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,49,66.1,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,3.00,2.00,-8275243.00,0.00,-2.53,30.70,47.748,0.740,2000,-5.28,-5.39,-5.03,-4.21,-4.01,-4.06,-3.48,-3.55,-2.92,-2.95,-2.63,-2.56,-2.40,-2.58,-2.10,-1.93,-1.90,-1.78,-1.68,-1.46,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,49,66.1,MALMIP0113,0.0,0.00,0.0
