,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,17.00,9.00,-113082.04,0.00,2.43,50.86,29.549,2.460,2000,4.50,3.15,3.03,3.27,3.25,3.37,3.15,2.51,2.69,2.60,2.12,2.09,2.25,2.30,2.31,1.88,2.21,2.39,2.31,2.07,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,19.00,71.00,-1419.82,0.00,-0.89,-96.43,83.278,0.441,2000,-1.68,-2.41,-1.75,-1.27,-1.13,-0.98,-0.96,-0.83,-1.11,-1.06,-0.84,-0.79,-0.60,-0.86,-0.74,-0.75,-0.93,-0.70,-0.64,-0.72,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,4.8,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,20.00,-1219.13,0.00,-1.31,57.86,-71.517,0.441,2000,-4.32,-3.84,-2.96,-2.35,-1.73,-1.49,-1.59,-1.55,-1.68,-1.35,-1.21,-1.23,-1.08,-1.18,-0.95,-0.88,-1.13,-0.85,-0.84,-0.86,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,4.8,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,20.00,19.00,1469116.38,0.00,0.29,32.27,-69.381,2.468,2000,1.32,0.10,-0.11,0.11,0.17,0.25,0.03,0.08,-0.05,0.06,0.18,0.43,0.23,0.12,0.09,0.29,0.45,0.32,0.38,0.73,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,19.00,18.00,1361024.63,0.00,1.19,-77.91,-60.472,2.468,2000,3.51,2.12,2.16,1.74,1.68,1.45,1.44,1.44,1.49,1.00,1.05,0.93,1.08,1.02,1.24,0.93,0.94,1.08,0.91,0.74,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,18.00,10.00,-108365.23,0.00,2.01,-2.92,30.017,2.468,2000,3.28,2.24,3.04,2.82,1.79,1.75,2.52,2.31,2.00,2.03,1.82,1.31,1.46,2.23,2.20,1.26,1.85,2.11,1.84,2.39,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,10.00,1.00,37983.66,0.00,-3.49,97.40,-7.642,2.468,2000,-9.60,-8.97,-5.70,-5.93,-7.26,-7.26,-5.46,-4.92,-3.08,-3.63,-3.90,-5.77,-3.20,-4.41,-2.48,-3.14,-2.98,-1.72,-2.03,0.08,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,21.00,71.00,-1057.51,0.00,-1.40,-60.09,62.571,0.444,2000,-5.27,-4.45,-3.45,-2.82,-2.71,-2.04,-1.95,-1.35,-1.25,-1.51,-1.13,-1.11,-1.17,-1.13,-1.10,-1.11,-0.99,-0.87,-0.95,-0.72,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,4.7,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,22.00,-938.70,0.00,-1.52,40.58,-55.550,0.444,2000,-6.29,-5.41,-3.76,-2.95,-2.67,-2.32,-1.90,-1.62,-1.33,-1.72,-1.33,-1.30,-1.29,-0.95,-1.22,-1.20,-1.02,-1.10,-0.81,-0.66,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,4.7,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,22.00,21.00,771107.69,0.00,-0.22,15.57,-41.425,2.475,2000,1.38,-0.01,-0.12,-0.20,-0.52,-0.96,-0.26,-0.04,-0.14,-0.53,-0.41,-0.02,-0.48,-0.13,-0.06,-0.34,-0.41,-0.30,-0.48,0.10,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,3.9,MALMIP1201,0.0,0.00,0.0
