2410
457	1 7	1 9	1 57	1 59
458	1 7	1 9	1 59	1 61
459	1 7	1 9	1 61	1 63
460	1 7	1 9	1 63	1 65
461	1 7	1 9	1 65	1 67
462	1 7	1 9	1 67	1 69
463	1 7	1 9	1 69	1 71
464	1 7	1 9	1 68	1 70
465	1 7	1 9	1 70	1 72
466	1 7	1 9	1 72	1 2
467	1 7	1 9	1 71	1 1
468	1 8	1 10	1 9	1 11
469	1 8	1 10	1 11	1 13
470	1 8	1 10	1 13	1 15
471	1 8	1 10	1 15	1 17
472	1 8	1 10	1 17	1 19
473	1 8	1 10	1 19	1 21
474	1 8	1 10	1 21	1 23
475	1 8	1 10	1 23	1 25
476	1 8	1 10	1 25	1 27
477	1 8	1 10	1 27	1 29
478	1 8	1 10	1 12	1 14
479	1 8	1 10	1 14	1 16
480	1 8	1 10	1 16	1 18
481	1 8	1 10	1 18	1 20
482	1 8	1 10	1 20	1 22
483	1 8	1 10	1 22	1 24
484	1 8	1 10	1 24	1 26
485	1 8	1 10	1 26	1 28
486	1 8	1 10	1 28	1 30
487	1 8	1 10	1 30	1 32
488	1 8	1 10	1 29	1 31
489	1 8	1 10	1 31	1 33
490	1 8	1 10	1 33	1 35
491	1 8	1 10	1 35	1 37
492	1 8	1 10	1 37	1 39
493	1 8	1 10	1 39	1 41
494	1 8	1 10	1 41	1 43
495	1 8	1 10	1 43	1 45
496	1 8	1 10	1 45	1 47
497	1 8	1 10	1 47	1 49
498	1 8	1 10	1 32	1 34
499	1 8	1 10	1 34	1 36
500	1 8	1 10	1 36	1 38
501	1 8	1 10	1 38	1 40
502	1 8	1 10	1 40	1 42
503	1 8	1 10	1 42	1 44
504	1 8	1 10	1 44	1 46
505	1 8	1 10	1 46	1 48
506	1 8	1 10	1 48	1 50
507	1 8	1 10	1 50	1 52
508	1 8	1 10	1 49	1 51
509	1 8	1 10	1 51	1 53
510	1 8	1 10	1 53	1 55
511	1 8	1 10	1 55	1 57
512	1 8	1 10	1 57	1 59
513	1 8	1 10	1 59	1 61
514	1 8	1 10	1 61	1 63
515	1 8	1 10	1 63	1 65
516	1 8	1 10	1 65	1 67
517	1 8	1 10	1 67	1 69
518	1 8	1 10	1 52	1 54
519	1 8	1 10	1 54	1 56
520	1 8	1 10	1 56	1 58
521	1 8	1 10	1 58	1 60
522	1 8	1 10	1 60	1 62
523	1 8	1 10	1 62	1 64
524	1 8	1 10	1 64	1 66
525	1 8	1 10	1 66	1 68
526	1 8	1 10	1 68	1 70
527	1 8	1 10	1 70	1 72
528	1 8	1 10	1 69	1 71
529	1 8	1 10	1 71	1 1
530	1 8	1 10	1 72	1 2
531	1 9	1 11	1 10	1 12
532	1 9	1 11	1 16	1 18
533	1 9	1 11	1 18	1 20
534	1 9	1 11	1 20	1 22
535	1 9	1 11	1 22	1 24
536	1 9	1 11	1 24	1 26
537	1 9	1 11	1 26	1 28
538	1 9	1 11	1 28	1 30
539	1 9	1 11	1 13	1 15
540	1 9	1 11	1 15	1 17
541	1 9	1 11	1 17	1 19
542	1 9	1 11	1 19	1 21
543	1 9	1 11	1 21	1 23
544	1 9	1 11	1 23	1 25
545	1 9	1 11	1 25	1 27
546	1 9	1 11	1 27	1 29
547	1 9	1 11	1 31	1 33
548	1 9	1 11	1 32	1 34
549	1 9	1 11	1 34	1 36
550	1 9	1 11	1 36	1 38
551	1 9	1 11	1 38	1 40
552	1 9	1 11	1 40	1 42
553	1 9	1 11	1 42	1 44
554	1 9	1 11	1 44	1 46
555	1 9	1 11	1 46	1 48
556	1 9	1 11	1 48	1 50
557	1 9	1 11	1 33	1 35
558	1 9	1 11	1 35	1 37
559	1 9	1 11	1 37	1 39
560	1 9	1 11	1 39	1 41
561	1 9	1 11	1 41	1 43
562	1 9	1 11	1 43	1 45
563	1 9	1 11	1 45	1 47
564	1 9	1 11	1 47	1 49
565	1 9	1 11	1 49	1 51
566	1 9	1 11	1 51	1 53
567	1 9	1 11	1 50	1 52
568	1 9	1 11	1 52	1 54
569	1 9	1 11	1 54	1 56
570	1 9	1 11	1 56	1 58
571	1 9	1 11	1 58	1 60
572	1 9	1 11	1 60	1 62
573	1 9	1 11	1 62	1 64
574	1 9	1 11	1 64	1 66
575	1 9	1 11	1 66	1 68
576	1 9	1 11	1 68	1 70
577	1 9	1 11	1 53	1 55
578	1 9	1 11	1 55	1 57
579	1 9	1 11	1 57	1 59
580	1 9	1 11	1 59	1 61
581	1 9	1 11	1 61	1 63
582	1 9	1 11	1 63	1 65
583	1 9	1 11	1 65	1 67
584	1 9	1 11	1 67	1 69
585	1 9	1 11	1 69	1 71
586	1 9	1 11	1 71	1 1
587	1 9	1 11	1 70	1 72
588	1 9	1 11	1 72	1 2
589	1 10	1 12	1 11	1 13
590	1 10	1 12	1 15	1 17
591	1 10	1 12	1 17	1 19
592	1 10	1 12	1 19	1 21
593	1 10	1 12	1 21	1 23
594	1 10	1 12	1 23	1 25
595	1 10	1 12	1 25	1 27
596	1 10	1 12	1 27	1 29
597	1 10	1 12	1 29	1 31
598	1 10	1 12	1 14	1 16
599	1 10	1 12	1 16	1 18
600	1 10	1 12	1 18	1 20
601	1 10	1 12	1 20	1 22
602	1 10	1 12	1 22	1 24
603	1 10	1 12	1 24	1 26
604	1 10	1 12	1 26	1 28
605	1 10	1 12	1 28	1 30
606	1 10	1 12	1 30	1 32
607	1 10	1 12	1 32	1 34
608	1 10	1 12	1 31	1 33
609	1 10	1 12	1 33	1 35
610	1 10	1 12	1 35	1 37
611	1 10	1 12	1 37	1 39
612	1 10	1 12	1 39	1 41
613	1 10	1 12	1 41	1 43
614	1 10	1 12	1 43	1 45
615	1 10	1 12	1 45	1 47
616	1 10	1 12	1 47	1 49
617	1 10	1 12	1 49	1 51
618	1 10	1 12	1 34	1 36
619	1 10	1 12	1 36	1 38
620	1 10	1 12	1 38	1 40
621	1 10	1 12	1 40	1 42
622	1 10	1 12	1 42	1 44
623	1 10	1 12	1 44	1 46
624	1 10	1 12	1 46	1 48
625	1 10	1 12	1 48	1 50
626	1 10	1 12	1 50	1 52
627	1 10	1 12	1 52	1 54
628	1 10	1 12	1 51	1 53
629	1 10	1 12	1 53	1 55
630	1 10	1 12	1 55	1 57
631	1 10	1 12	1 57	1 59
632	1 10	1 12	1 59	1 61
633	1 10	1 12	1 61	1 63
634	1 10	1 12	1 63	1 65
635	1 10	1 12	1 65	1 67
636	1 10	1 12	1 67	1 69
637	1 10	1 12	1 69	1 71
638	1 10	1 12	1 54	1 56
639	1 10	1 12	1 56	1 58
640	1 10	1 12	1 58	1 60
641	1 10	1 12	1 60	1 62
642	1 10	1 12	1 62	1 64
643	1 10	1 12	1 64	1 66
644	1 10	1 12	1 66	1 68
645	1 10	1 12	1 68	1 70
646	1 10	1 12	1 70	1 72
647	1 10	1 12	1 72	1 2
648	1 10	1 12	1 71	1 1
649	1 11	1 13	1 12	1 14
650	1 11	1 13	1 14	1 16
651	1 11	1 13	1 16	1 18
652	1 11	1 13	1 18	1 20
653	1 11	1 13	1 20	1 22
654	1 11	1 13	1 22	1 24
655	1 11	1 13	1 24	1 26
656	1 11	1 13	1 26	1 28
657	1 11	1 13	1 28	1 30
658	1 11	1 13	1 30	1 32
659	1 11	1 13	1 15	1 17
660	1 11	1 13	1 17	1 19
661	1 11	1 13	1 19	1 21
662	1 11	1 13	1 21	1 23
663	1 11	1 13	1 23	1 25
664	1 11	1 13	1 25	1 27
665	1 11	1 13	1 27	1 29
666	1 11	1 13	1 29	1 31
667	1 11	1 13	1 33	1 35
668	1 11	1 13	1 32	1 34
669	1 11	1 13	1 34	1 36
670	1 11	1 13	1 36	1 38
671	1 11	1 13	1 38	1 40
672	1 11	1 13	1 40	1 42
673	1 11	1 13	1 42	1 44
674	1 11	1 13	1 44	1 46
675	1 11	1 13	1 46	1 48
676	1 11	1 13	1 48	1 50
677	1 11	1 13	1 50	1 52
678	1 11	1 13	1 35	1 37
679	1 11	1 13	1 37	1 39
